Province.State,Country.Region,Area(in sq kms),Population,Population.Density,Lat,Long,Confirmed.Cases,Deaths,Median(Years),Male(Years),Female(year),Avg yearly temp
,Afghanistan,652237,35530000,54.47406388,33,65,120,4,18.9,18.8,18.9,12.6
,Albania,28748,2877000,100.0765271,41.1533,20.1683,212,10,32.9,31.6,34.3,11.4
,Algeria,2381741,41320000,17.34865378,28.0339,1.6596,511,31,28.1,27.8,28.4,22.5
,Andorra,468,78000,166.6666667,42.5063,1.5218,334,6,44.3,44.4,44.1,7.6
,Angola,1247000,28810000,23.10344828,-11.2027,17.8739,7,2,15.9,15.4,16.3,21.55
,Antigua and Barbuda,440,102012,231.8454545,17.0608,-61.7964,7,0,31.9,30,33.5,26
,Argentina,2780400,44270000,15.92216947,-38.4161,-63.6167,745,19,31.7,30.5,32.9,14.8
,Armenia,29743,2973000,99.95629224,40.0691,45.0382,424,3,35.1,33.3,36.9,7.15
Australian Capital Territory,Australia,2358,426709,180.9622561,-35.4735,149.0124,77,0,38.7,37.9,39.5,21.65
New South Wales,Australia,801150,8089526,10.0973925,-33.8688,151.2093,1791,8,38.7,37.9,39.5,21.65
Northern Territory,Australia,1420970,245869,0.173028987,-12.4634,130.8456,15,0,38.7,37.9,39.5,21.65
Queensland,Australia,1852642,5095100,2.750180553,-28.0167,153.4,656,2,38.7,37.9,39.5,21.65
South Australia,Australia,983482,1751693,1.781113432,-34.9285,138.6007,299,0,38.7,37.9,39.5,21.65
Tasmania,Australia,68401,534281,7.811011535,-41.4545,145.9707,66,0,38.7,37.9,39.5,21.65
Victoria,Australia,227444,6594804,28.99528675,-37.8136,144.9631,769,4,38.7,37.9,39.5,21.65
Western Australia,Australia,2529875,2621680,1.036288354,-31.9505,115.8605,311,2,38.7,37.9,39.5,21.65
,Austria,83879,8822000,105.1753121,47.5162,14.5501,8788,86,44.4,42.8,45.1,6.35
,Azerbaijan,86600,9898000,114.295612,40.1431,47.5769,209,4,31.3,29.8,33,11.95
,Bahamas,13878,392272,28.26574434,25.0343,-77.3963,11,0,32,30.9,33.2,24.85
,Bahrain,765.3,1493000,1950.86894,26.0275,50.55,499,4,32.3,33.8,29.5,27.15
,Bangladesh,147570,164700000,1116.080504,23.685,90.3563,48,5,26.7,26,27.3,25
,Barbados,431,285719,662.9211137,13.1939,-59.5432,33,0,38.6,37.5,39.8,26
,Belarus,207595,9508000,45.80071774,53.7098,27.9534,94,0,40,37.1,43.1,6.15
,Belgium,30689,11400000,371.4686044,50.8333,4,10836,431,41.4,40.2,42.7,9.55
,Benin,114763,11180000,97.41815742,9.3077,2.3158,6,0,18.2,17.9,18.6,27.55
,Bhutan,38394,807610,21.0347971,27.5142,90.4336,4,0,27.6,28.2,27.1,7.4
,Bolivia,1098581,11050000,10.05842992,-16.2902,-63.5887,81,1,24.3,23.6,25,21.55
,Bosnia and Herzegovina,51197,3507000,68.50010743,43.9159,17.6791,323,6,42.1,40.5,43.5,9.85
,Brazil,8511000,209300000,24.59170485,-14.235,-51.9253,4256,136,32.6,31.1,32.8,24.95
,Brunei,5765,428697,74.36201214,4.5353,114.7277,126,1,30.2,29.7,30.7,26.85
,Bulgaria,110994,7050000,63.51694686,42.7339,25.4858,346,8,42.7,40.9,44.7,10.55
,Burkina Faso,274200,19190000,69.98541211,12.2383,-1.5616,222,12,17.3,17.1,17.4,28.25
,Cabo Verde,4033,554420,137.4708654,16.5388,-23.0418,6,1,25.4,24.6,26.2,23.3
,Cambodia,181035,16010000,88.4359378,11.55,104.9167,103,0,25.3,24.6,26,26.8
,Cameroon,475442,24050000,50.58450873,3.848,11.5021,139,6,18.5,18.4,18.7,24.6
Alberta,Canada,661848,4413146,6.667914687,53.9333,-116.5765,621,2,42.2,40.9,43.5,-5.35
British Columbia,Canada,944735,5110917,5.409894838,49.2827,-123.1207,884,17,42.2,40.9,43.5,-5.35
Manitoba,Canada,647797,1377517,2.126464,53.7609,-98.8139,72,1,42.2,40.9,43.5,-5.35
New Brunswick,Canada,72908,779993,10.69831843,46.5653,-66.4619,66,0,42.2,40.9,43.5,-5.35
Newfoundland and Labrador,Canada,405212,521365,1.286647483,53.1355,-57.6604,135,0,42.2,40.9,43.5,-5.35
Nova Scotia,Canada,55284,977457,17.68064901,44.682,-63.7443,122,0,42.2,40.9,43.5,-5.35
Ontario,Canada,908607.67,14711827,16.19161656,51.2538,-85.3232,1355,21,42.2,40.9,43.5,-5.35
Prince Edward Island,Canada,5660,158158,27.94310954,46.5107,-63.4168,11,0,42.2,40.9,43.5,-5.35
Quebec,Canada,1668000,8537674,5.118509592,52.9399,-73.5491,2840,22,42.2,40.9,43.5,-5.35
Saskatchewan,Canada,651900,1181666,1.812649179,52.9399,-106.4509,156,0,42.2,40.9,43.5,-5.35
Northwest Territories,Canada,1346000,44826,0.03330312,64.8255,-124.8457,1,0,42.2,40.9,43.5,-5.35
Yukon,Canada,482400,35874,0.074365672,64.2823,-135,4,0,42.2,40.9,43.5,-5.35
,Central African Republic,622980,4659000,7.478570741,6.6111,20.9394,3,0,19.7,19.4,20,24.9
,Chad,1284000,16298579,12.69359735,15.4542,18.7322,3,0,17.8,16.8,18.8,26.55
,Chile,756950,18050000,23.84569655,-35.6751,-71.543,2139,7,34.4,33.2,35.6,8.45
Anhui,China,139400,59500510,426.8329268,31.8257,117.2264,990,6,37.4,36.5,38.4,6.95
Beijing,China,16411,21710000,1322.893181,40.1824,116.4142,577,8,37.4,36.5,38.4,6.95
Chongqing,China,82400,30750000,373.1796117,30.0572,107.874,579,6,37.4,36.5,38.4,6.95
Fujian,China,123900,39110000,315.6577885,26.0789,117.9874,338,1,37.4,36.5,38.4,6.95
Gansu,China,425800,26260000,61.67214655,37.8099,101.0583,138,2,37.4,36.5,38.4,6.95
Guangdong,China,179700,111690000,621.5358932,23.3417,113.4244,1475,8,37.4,36.5,38.4,6.95
Guangxi,China,237600,48850000,205.5976431,23.8298,108.7881,254,2,37.4,36.5,38.4,6.95
Guizhou,China,176200,35806468,203.2149149,26.8154,106.8748,146,2,37.4,36.5,38.4,6.95
Hainan,China,35354,9170000,259.3765911,19.1959,109.7453,168,6,37.4,36.5,38.4,6.95
Hebei,China,188800,59020000,312.6059322,39.549,116.1306,319,6,37.4,36.5,38.4,6.95
Heilongjiang,China,454800,37890000,83.31134565,47.862,127.7615,484,13,37.4,36.5,38.4,6.95
Henan,China,167000,95590000,572.3952096,33.882,113.614,1276,22,37.4,36.5,38.4,6.95
Hong Kong,China,1105.7,7335384,6634.15393,22.3,114.2,641,4,37.4,36.5,38.4,6.95
Hubei,China,185900,59020000,317.4825175,30.9756,112.2707,67801,3182,37.4,36.5,38.4,6.95
Hunan,China,211800,68600000,323.8904627,27.6104,111.7088,1018,4,37.4,36.5,38.4,6.95
Inner Mongolia,China,1183000,25290000,21.37785292,44.0935,113.9448,95,1,37.4,36.5,38.4,6.95
Jiangsu,China,102600,80290000,782.5536062,32.9711,119.455,644,0,37.4,36.5,38.4,6.95
Jiangxi,China,166900,46220000,276.9322948,27.614,115.7221,937,1,37.4,36.5,38.4,6.95
Jilin,China,187400,27170000,144.9839915,43.6661,126.1923,98,1,37.4,36.5,38.4,6.95
Liaoning,China,148400,43690000,294.4070081,41.2956,122.6085,134,2,37.4,36.5,38.4,6.95
Macau,China,30.5,644900,21144.2623,22.1667,113.55,37,0,37.4,36.5,38.4,6.95
Ningxia,China,66400,6820000,102.7108434,37.2692,106.1655,75,0,37.4,36.5,38.4,6.95
Qinghai,China,722300,5980000,8.279108404,35.7452,95.9956,18,0,37.4,36.5,38.4,6.95
Shaanxi,China,205800,38350000,186.345967,35.1917,108.8701,253,3,37.4,36.5,38.4,6.95
Shandong,China,157100,100060000,636.9191598,36.3427,118.1498,772,7,37.4,36.5,38.4,6.95
Shanghai,China,6340.5,24180000,3813.579371,31.202,121.4491,492,5,37.4,36.5,38.4,6.95
Shanxi,China,156700,36820000,234.9712827,37.5777,112.2922,136,0,37.4,36.5,38.4,6.95
Sichuan,China,486100,83020000,170.7879037,30.6171,102.7103,550,3,37.4,36.5,38.4,6.95
Tianjin,China,11917,15570000,1306.53688,39.3054,117.323,166,3,37.4,36.5,38.4,6.95
Tibet,China,1228400,3370000,2.743406057,31.6927,88.0924,1,0,37.4,36.5,38.4,6.95
Xinjiang,China,1664900,24450000,14.6855667,41.1129,85.2401,76,3,37.4,36.5,38.4,6.95
Yunnan,China,394100,48010000,121.8218726,24.974,101.487,180,2,37.4,36.5,38.4,6.95
Zhejiang,China,101800,56570000,555.697446,29.1832,120.0934,1254,1,37.4,36.5,38.4,6.95
,Colombia,1142000,49070000,42.96847636,4.5709,-74.2973,702,10,30.9,29,31,24.5
